AU,OHI,,AU2,OHI2,OHILabel
0.500,0.000,,0.500,0.00,'0.00'
0.550,0.100,,0.750,0.50,'0.50'
0.600,0.200,,0.950,0.90,'0.90'
0.650,0.300,,1.000,1.00,'1.00'
0.700,0.400,,1.385,0.90,'0.90'
0.750,0.500,,1.770,0.80,'0.80'
0.800,0.600,,4.850,0.00,'0.00'
0.850,0.700,,,,
0.900,0.800,,,,
0.950,0.900,,,,
1.000,1.000,,,,
1.050,0.987,,,,
1.100,0.974,,,,
1.150,0.961,,,,
1.200,0.948,,,,
1.250,0.935,,,,
1.300,0.922,,,,
1.350,0.909,,,,
1.400,0.896,,,,
1.450,0.883,,,,
1.500,0.870,,,,
1.550,0.857,,,,
1.600,0.844,,,,
1.650,0.831,,,,
1.700,0.818,,,,
1.750,0.805,,,,
1.800,0.792,,,,
1.850,0.779,,,,
1.900,0.766,,,,
1.950,0.753,,,,
2.000,0.740,,,,
2.050,0.727,,,,
2.100,0.714,,,,
2.150,0.701,,,,
2.200,0.688,,,,
2.250,0.675,,,,
2.300,0.662,,,,
2.350,0.649,,,,
2.400,0.636,,,,
2.450,0.623,,,,
2.500,0.610,,,,
2.550,0.597,,,,
2.600,0.584,,,,
2.650,0.571,,,,
2.700,0.558,,,,
2.750,0.545,,,,
2.800,0.532,,,,
2.850,0.519,,,,
2.900,0.506,,,,
2.950,0.494,,,,
3.000,0.481,,,,
3.050,0.468,,,,
3.100,0.455,,,,
3.150,0.442,,,,
3.200,0.429,,,,
3.250,0.416,,,,
3.300,0.403,,,,
3.350,0.390,,,,
3.400,0.377,,,,
3.450,0.364,,,,
3.500,0.351,,,,
3.550,0.338,,,,
3.600,0.325,,,,
3.650,0.312,,,,
3.700,0.299,,,,
3.750,0.286,,,,
3.800,0.273,,,,
3.850,0.260,,,,
3.900,0.247,,,,
3.950,0.234,,,,
4.000,0.221,,,,
4.050,0.208,,,,
4.100,0.195,,,,
4.150,0.182,,,,
4.200,0.169,,,,
4.250,0.156,,,,
4.300,0.143,,,,
4.350,0.130,,,,
4.400,0.117,,,,
4.450,0.104,,,,
4.500,0.091,,,,
4.550,0.078,,,,
4.600,0.065,,,,
4.650,0.052,,,,
4.700,0.039,,,,
4.750,0.026,,,,
4.800,0.013,,,,
4.850,0.000,,,,
